id,company_name
193619,China Oilfield Services Limited
195364,"Telenav, Inc"
240097,Legacy Housing Corp
240098,Vaccinex Inc
195368,"Taylor Devices, Inc"
229709,Shizuoka Bank Ltd
239997,Q-Food
240134,cbdMD Inc
195375,"Simpson Manufacturing Co., Inc"
195463,SunOpta Inc
195506,"Sypris Solutions, Inc"
195508,"Syneos Health, Inc"
195527,"Stemline Therapeutics, Inc"
239989,Biscuits Dupon
195540,Grupo Supervielle S.A
195544,Sunoco LP
195577,NN Group N.V
195592,Royal Dutch Shell plc
242753,Mount Rainier Acquisition Corp Unit
195619,Proximus PLC
242755,Progress Acquisition Corp
195656,"Unicaja Banco, S.A"
195765,Ipsen S.A
195855,KBC Group NV
195932,Orion Oyj
196069,Wartsila Oyj Abp
196174,Oasmia Pharmaceutical AB (publ)
243021,Lead Edge Growth Opportunities Ltd
243020,Relativity Acquisition Corp
243022,RiverNorth/DoubleLine Strategic Opportunity Fund
196636,Johnson Matthey Plc
197390,China CITIC Bank Corporation Limited
198923,China Development Financial Holding Corporation
199588,BrasilAgro - Companhia Brasileira de Propriedades Agricolas
200039,China Steel Corporation
200160,AU Optronics Corp
200184,Uni-President Enterprises Corp
200206,Formosa Chemicals & Fibre Corporation
200495,Kurita Water Industries Ltd
200695,Rinnai Corporation
200870,Lasertec Corporation
201021,Nidec Corporation
201085,YASKAWA Electric Corporation
201782,Otsuka Corporation
238750,KGHM Polska Miedz S.A.
204806,"Armada Hoffler Properties, Inc"
202400,Intouch Holdings Public Company Limited
238234,UniCredit SpA
202902,Unicharm Corporation
203617,ANA Holdings Inc
203674,East Japan Railway Company
207015,"Ambac Financial Group, Inc"
203724,"Healthcare Services Group, Inc"
240364,Sonendo Inc
240379,Sonoma Pharmaceuticals Inc
203729,"HD Supply Holdings, Inc"
203748,Americold Realty Trust
203764,"Nathan's Famous, Inc"
203778,"Holly Energy Partners, L.P"
203807,CounterPath Corporation
203810,"Great Western Bancorp, Inc"
203811,"GSE Systems, Inc"
203816,Granite Construction Incorporated
240411,Northeast Community Bancorp Inc
203834,CoreSite Realty Corporation
240414,Greif Inc
240423,Sqz Biotechnologies Co
240434,Lumos Pharma Inc
195409,STAAR Surgical Company
203846,Corcept Therapeutics Incorporated
240440,Impinj Inc
240451,PowerUp Acquisition Corp
203899,Materialise NV
194631,"Extraction Oil & Gas, Inc"
203543,Nippon Building Fund Incorporation
242632,Eco Wave Power Global AB  ADR
242651,Atossa Genetics Inc
194637,Xenon Pharmaceuticals Inc
242763,Forum Merger IV Corp
203904,"Conifer Holdings, Inc"
203930,Adamis Pharmaceuticals Corporation
242708,Bannix Acquisition Corp
242714,Berkshire Grey Inc
203938,"Adamas Pharmaceuticals, Inc"
203966,"MaxLinear, Inc"
203994,"PetIQ, Inc"
204013,Gamida Cell Ltd
204018,Grocery Outlet Holding Corp
242732,PepGen Ltd
204024,Canada Goose Holdings Inc
204031,Acushnet Holdings Corp
204038,"Genius Brands International, Inc"
204057,Glen Burnie Bancorp
204064,Criteo S.A
203883,"Vail Resorts, Inc"
208832,TranSwitch Corporation
204083,Peoples Bancorp Inc
204096,Global Partners LP
242757,SK Telecom Co Ltd ADR
242779,Perion Network
243046,Pennsylvania RE Investment Trust
243047,Northern Star Investment Corp IV
204104,CRISPR Therapeutics AG
204109,PEDEVCO Corp
196411,St. James's Place plc
204111,"Ocean Bio-Chem, Inc"
204148,"Gravity Co., Ltd"
204163,"China Pharma Holdings, Inc"
204171,Gates Industrial Corporation plc
204174,"Paramount Group, Inc"
204187,GP Strategies Corporation
204203,Gulfport Energy Corporation
204247,"Corbus Pharmaceuticals Holdings, Inc"
194827,Shenandoah Telecommunications Company
204251,"MSC Industrial Direct Co., Inc"
204285,"Monarch Casino & Resort, Inc"
204321,"Ramaco Resources, Inc"
234395,Petronas Gas Bhd
204326,"Airgain, Inc"
204334,L'Air Liquide S.A
242967,Semrush Holdings Inc
204361,"MiMedx Group, Inc"
238828,Shriram Transport Finance Company Limited
204369,"Hope Bancorp, Inc"
204394,"HV Bancorp, Inc"
243006,Canna Global Acquisition Corp
204412,"ACM Research, Inc"
190656,FactSet Research Systems Inc
190860,"The Home Depot, Inc"
206466,"Atara Biotherapeutics, Inc"
204418,"Marrone Bio Innovations, Inc"
204437,Manchester United plc
204472,Harsco Corporation
204477,"Heritage Insurance Holdings, Inc"
204481,Herc Holdings Inc
204486,Moelis & Company
204492,"Heartland Financial USA, Inc"
239982,Milcobel
204498,Hilltop Holdings Inc
204501,"Hercules Capital, Inc"
204511,"Pope Resources, A Delaware Limited Partnership"
204514,Hersha Hospitality Trust
204516,"HealthStream, Inc"
204530,Norwood Financial Corp
206605,"BioCryst Pharmaceuticals, Inc"
204545,"Mid Penn Bancorp, Inc"
204546,"Planet Fitness, Inc"
190904,Danske Bank A/S
204566,"MediciNova, Inc"
191354,Teva Pharmaceutical Industries Limited
204578,Ashford Inc
238102,Hologic Inc
204584,ePlus inc
243237,Clearway Energy Inc
243251,Nerdwallet Inc
203884,"Match Group, Inc"
240000,Flanders Road Services
204599,"Marten Transport, Ltd"
204616,Middlesex Water Company
204620,"Concert Pharmaceuticals, Inc"
204624,Meridian Corporation
191267,Power Corporation of Canada
204637,"Mercury Systems, Inc"
204645,Hailiang Education Group Inc
195055,RioCan Real Estate Investment Trust
204666,"Manning & Napier, Inc"
204673,"Mitek Systems, Inc"
211322,Eurazeo SE
204686,"Hemisphere Media Group, Inc"
204689,The Middleby Corporation
204702,Acme United Corporation
204710,Clean Energy Fuels Corp
204711,Nevro Corp
204737,"Northwest Bancshares, Inc"
243507,Recruiter.Com Group Inc
204776,"Calyxt, Inc"
204778,MarketAxess Holdings Inc
204780,Comerica Incorporated
204784,Melco Resorts & Entertainment Limited
204794,"Okta, Inc"
204795,Digi International Inc
204812,"EQM Midstream Partners, LP"
204814,"Ollie's Bargain Outlet Holdings, Inc"
204816,Equitable Financial Corp
204823,"Donnelley Financial Solutions, Inc"
243066,Forbion European Acquisition Corp
204825,Diffusion Pharmaceuticals Inc
204826,Denny's Corporation
204829,OneSpan Inc
204393,HUYA Inc
205812,Cushman & Wakefield plc
206737,"Barrett Business Services, Inc"
204416,MBIA Inc
204830,"Esperion Therapeutics, Inc"
204836,"EnSync, Inc"
204855,EPR Properties
204862,AGCO Corporation
204868,ENGIE SA
204876,AMCON Distributing Company
204881,Orgenesis Inc
204887,"EnLink Midstream, LLC"
204888,Enochian Biosciences Inc
238106,Industria de Diseno Textil SA
204895,Edgewell Personal Care Company
204339,Hoku Corporation
204900,"Orrstown Financial Services, Inc"
204908,"Enova International, Inc"
204912,"Enanta Pharmaceuticals, Inc"
195242,Technical Communications Corporation
195244,TriCo Bancshares
204923,Omeros Corporation
204940,Eagle Materials Inc
243071,Iconic Sports Acquisition Corp
243073,Achari Ventures Holdings Corp I
243070,Target Global Acquisition I Corp Unit
204963,Darling Ingredients Inc
204969,"First Business Financial Services, Inc"
243935,Interpace Biosciences Inc
190363,"National CineMedia, Inc"
204980,FAT Brands Inc
204982,"FARO Technologies, Inc"
243076,RESHAPE LIFESCIENCES
204983,Designer Brands Inc
204997,"OraSure Technologies, Inc"
243077,Lantern Pharma Inc
243996,Battalion Oil Corp
195348,TimkenSteel Corporation
205008,"Overstock.com, Inc"
205023,Establishment Labs Holdings Inc
243078,Achilles Therapeutics PLC ADR
244019,Genetron Holdings Ltd
205026,O2Micro International Limited
205027,"Ever-Glory International Group, Inc"
205028,"Evergy, Inc"
205036,"Otonomy, Inc"
205057,Franklin Covey Co
205060,Physicians Realty Trust
205076,Dynasil Corporation of America
205083,"Agios Pharmaceuticals, Inc"
205087,"The Dixie Group, Inc"
189759,Western Digital Corporation
205089,"DXP Enterprises, Inc"
205098,"Dunkin' Brands Group, Inc"
205100,Denali Therapeutics Inc
205102,"Encore Capital Group, Inc"
205107,ChannelAdvisor Corporation
205109,"Ennis, Inc"
189840,"People's United Financial, Inc"
205117,"Meridian Bancorp, Inc"
205124,"Destination XL Group, Inc"
205128,Federal Agricultural Mortgage Corporation
205129,"Dynatrace, Inc"
205140,"Daseke, Inc"
189814,"Intercontinental Exchange, Inc"
189869,"Palo Alto Networks, Inc"
205142,Allergan plc
205149,"Dril-Quip, Inc"
205162,"DexCom, Inc"
205169,Absa Group Limited
205176,Dynavax Technologies Corporation
205184,BRP Inc
189949,Yelp Inc
204844,"ONEOK, Inc"
205189,"Avangrid, Inc"
205194,"OneMain Holdings, Inc"
205200,"OptiNose, Inc"
205213,DLH Holdings Corp
190005,The Western Union Company
205217,Agenus Inc
205225,"Eiger BioPharmaceuticals, Inc"
205233,Empire Company Limited
205235,EMCORE Corporation
205249,"Elevate Credit, Inc"
190481,"Cardinal Health, Inc"
205266,"AgroFresh Solutions, Inc"
205267,"Eagle Financial Bancorp, Inc"
189907,Duke Energy Corporation
190021,"C.H. Robinson Worldwide, Inc"
205279,Educational Development Corporation
190051,"McCormick & Company, Incorporated"
243088,Cardiff Oncology Inc
206019,Birks Group Inc
205289,"Editas Medicine, Inc"
205306,"EastGroup Properties, Inc"
205318,"Eagle Bancorp, Inc"
205333,"Citius Pharmaceuticals, Inc"
190093,Peapack-Gladstone Financial Corporation
190099,"Universal Health Services, Inc"
205355,"Puma Biotechnology, Inc"
190402,Entergy Corporation
205359,Aehr Test Systems
205360,GATX Corporation
196369,Ocado Group plc
205384,Continental Aktiengesellschaft
205379,PotlatchDeltic Corporation
189884,AXA SA
190134,"T. Rowe Price Group, Inc"
205388,"GlobeImmune, Inc"
205391,"Glacier Bancorp, Inc"
243092,LDH Growth Corp I
205395,"Cutera, Inc"
205408,FirstService Corporation
205420,Flexible Solutions International Inc
190199,Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP
205438,"Culp, Inc"
205441,Continental Materials Corporation
205452,Oil-Dri Corporation of America
205461,"Prudential Bancorp, Inc"
190206,"Grupo Aeroportuario del Sureste, S. A. B. de C. V"
205172,"Aeglea BioTherapeutics, Inc"
190211,"AeroVironment, Inc"
197002,Advanced Micro Devices Inc
190213,Valeo SA
205466,CenterState Bank Corporation
205476,"Guaranty Federal Bancshares, Inc"
205478,"CoStar Group, Inc"
242878,EVe Mobility Acquisition Corp
190976,"Skyworks Solutions, Inc"
205485,Pinduoduo Inc
205503,"Greenhill & Co., Inc"
205506,GreenTree Hospitality Group Ltd
195496,TAL Education Group
205508,Graham Holdings Company
205524,Graco Inc
190238,Visteon Corporation
190240,"Varian Medical Systems, Inc"
205535,"Community Trust Bancorp, Inc"
206242,Ark Restaurants Corp
205538,"CynergisTek, Inc"
206245,Paramount Gold Nevada Corp
190253,"Penn National Gaming, Inc"
205542,"Charles & Colvard, Ltd"
190263,"Mueller Industries, Inc"
190277,"Malvern Bancorp, Inc"
205549,CTI BioPharma Corp
190278,Atmos Energy Corporation
205563,Nabors Industries Ltd
191018,Royal Caribbean Cruises Ltd
205567,Pure Cycle Corporation
205578,Caesarstone Ltd
211517,Impala Platinum Holdings Limited
205583,"PCTEL, Inc"
205585,"Capstar Financial Holdings, Inc"
242882,On Holding Ltd
242885,Churchill Capital VI Corp
205588,"Carriage Services, Inc"
205591,PCSB Financial Corporation
243105,Concord Acquisition Corp III
190302,"Mellanox Technologies, Ltd"
205592,GDS Holdings Limited
190324,Eversource Energy
205597,"First Community Bankshares, Inc"
195417,TransAtlantic Petroleum Ltd
205606,"Fitbit, Inc"
205615,"Federated Hermes, Inc"
205445,Fortive Corporation
205617,"First Interstate BancSystem, Inc"
205626,"FibroGen, Inc"
205644,OGE Energy Corp
190341,"ServiceNow, Inc"
205650,"Fulgent Genetics, Inc"
205657,Cyanotech Corporation
205677,"FTI Consulting, Inc"
205686,"Daktronics, Inc"
205705,Flushing Financial Corporation
205425,CVB Financial Corp
190386,BP p.l.c
201704,Kao Corporation
205707,"Cytokinetics, Incorporated"
190401,Northern Trust Corporation
205719,Phoenix New Media Limited
190422,Johnson Outdoors Inc
205725,Oxford Square Capital Corp
190449,National Fuel Gas Company
205726,"Casella Waste Systems, Inc"
191175,"Carter's, Inc"
201723,Takeda Pharmaceutical Company Limited
205732,"Republic First Bancorp, Inc"
222569,XAI Octagon Floating Rate & Alternative Income Term Trust
238806,PI Industries Limited
190457,"John B. Sanfilippo & Son, Inc"
205741,"Prosperity Bancshares, Inc"
201880,LINE Corporation
206428,"Aware, Inc"
190501,Jack in the Box Inc
190505,Callaway Golf Company
205748,First Quantum Minerals Ltd
205757,"CPI Aerostructures, Inc"
190514,British American Tobacco p.l.c
205762,Carvana Co
205767,Prestige Consumer Healthcare Inc
205764,"Freshpet, Inc"
205770,"Cavco Industries, Inc"
190089,First Republic Bank
205772,Central Valley Community Bancorp
205775,PBF Energy Inc
190579,"Nuance Communications, Inc"
205796,"FlexShopper, Inc"
205822,"Flexsteel Industries, Inc"
205823,"Flexion Therapeutics, Inc"
205826,"Omega Flex, Inc"
205830,CVD Equipment Corporation
191307,Constellation Software Inc
205018,Community Bankers Trust Corporation
205837,"Forrester Research, Inc"
204964,"Facebank Group, Inc"
205838,"FormFactor, Inc"
205849,Ferro Corporation
190635,MicroStrategy Incorporated
205850,Focus Financial Partners Inc
205888,Qudian Inc
205894,Booking Holdings Inc
205903,Jardine Matheson Holdings Limited
205910,Quintana Energy Services Inc
190752,The Bank of Nova Scotia
205923,Banco Macro S.A
229482,BT Group Plc
229658,Bank Polska Kasa Opieki SA
234295,Alibaba Health Information Technology Ltd
190666,Churchill Downs Incorporated
205938,"KAR Auction Services, Inc"
205965,"ALJ Regional Holdings, Inc"
189987,DTE Energy Company
204318,PrimeEnergy Resources Corporation
205966,Jianpu Technology Inc
206011,"Axon Enterprise, Inc"
206037,Qiwi plc
206053,"The Buckle, Inc"
190723,Kellogg Company
206071,Bilibili Inc
190727,"Banco Latinoamericano de Comercio Exterior, S.A"
190744,"Maxim Integrated Products, Inc"
206082,"ImmunoGen, Inc"
190745,Bank of China Limited
206090,Jefferies Financial Group Inc
190766,Bristol-Myers Squibb Company
206100,Arcturus Therapeutics Holdings Inc
206102,Arcos Dorados Holdings Inc
206152,"Ardelyx, Inc"
190787,CRH plc
239998,Almaplast
206160,"Brown & Brown, Inc"
206183,"Kronos Worldwide, Inc"
239994,Plastiflex
206203,"Asbury Automotive Group, Inc"
190426,Navient Corporation
204576,"Compass Minerals International, Inc"
206217,Keyera Corp
190806,Brookdale Senior Living Inc
206223,Kinross Gold Corporation
206226,Navios Maritime Holdings Inc
240404,Stabilis Solutions Inc
190703,Marvell Technology Group Ltd
206232,BOK Financial Corporation
190165,Techtronic Industries Company Limited
204614,"Midland States Bancorp, Inc"
190560,New Mountain Finance Corporation
190852,"Consumer Portfolio Services, Inc"
190823,Infosys Limited
206235,Kewaunee Scientific Corporation
206238,Bryn Mawr Bank Corporation
206244,"Pzena Investment Management, Inc"
205412,Federal Signal Corporation
205417,"Old Dominion Freight Line, Inc"
242889,Sitime Corporation
190829,NXP Semiconductors N.V
190839,Extra Space Storage Inc
203886,Conduent Incorporated
206252,"Kadmon Holdings, Inc"
190865,PTC Inc
190871,Helen of Troy Limited
190877,"Align Technology, Inc"
190878,HEICO Corporation
190889,Stratasys Ltd
206291,Research Frontiers Incorporated
206340,"Innoviva, Inc"
204691,"Micron Solutions, Inc"
206356,"Asure Software, Inc"
206370,"Inspired Entertainment, Inc"
206372,New England Realty Associates Limited Partnership
190887,Sensata Technologies Holding plc
206294,Boston Omaha Corporation
206379,Immersion Corporation
206386,"AxoGen, Inc"
190905,AAR Corp
203969,"Hillenbrand, Inc"
206388,"Raven Industries, Inc"
190424,"Broadridge Financial Solutions, Inc"
206397,"Aspen Aerogels, Inc"
206398,Alerus Financial Corporation
206400,"Ionis Pharmaceuticals, Inc"
206423,"Armstrong World Industries, Inc"
190915,"HCA Healthcare, Inc"
206426,"Rubicon Technology, Inc"
190930,Laboratory Corporation of America Holdings
206430,Ribbon Communications Inc
242893,Vista Oil Gas ADR
206439,"AtriCure, Inc"
206442,Autohome Inc
239985,Brouwerij The Musketeers
206446,"Inogen, Inc"
206456,"Altice USA, Inc"
206461,"RCM Technologies, Inc"
242771,Noble Rock Acquisition Corp
190960,Gentex Corporation
206470,Atlanticus Holdings Corporation
190968,"Autoliv, Inc"
206477,First Internet Bancorp
206491,Allegheny Technologies Incorporated
190934,Microchip Technology Incorporated
206514,"Amtech Systems, Inc"
